text,label
"Honestly, this product broke after just two days of use.",negative
"Poor performance, the battery drains way too fast.",negative
This is the best purchase I've made this year.,positive
"Honestly, it works as expected, neither great nor bad.",neutral
"Honestly, this is the worst experience I've had with a company.",negative
"The product quality is great, works exactly as I expected.",positive
"Overall, excellent build quality, feels premium and durable.",positive
"Excellent customer service, staff replied quickly and politely.",positive
"Overall, poor performance and the battery drains too fast.",negative
"Overall, amazing quality and fast shipping, highly recommend.",positive
The customer service was fantastic and very helpful.,positive
"Overall, received the product exactly as described.",neutral
Poor performance and the battery drains too fast.,negative
"Overall, average experience overall, might consider other options.",neutral
"Overall, setup took about ten minutes, fairly straightforward.",neutral
"This app is very easy to use, smooth with no glitches.",positive
"Overall, the packaging was standard, similar to other orders.",neutral
"Total waste of money, it doesn't work as advertised at all.",negative
"Honestly, the product broke after just two days, really terrible.",negative
"The product arrived on time, nothing special to note.",neutral
"The app is smooth, fast, and very easy to use.",positive
It is okay for casual use but not for heavy tasks.,neutral
"Honestly, five stars, everything works exactly as described.",positive
"Honestly, i'm so happy with this, will buy again for sure.",positive
The price is fairly reasonable compared to other models.,neutral
"Overall, the customer service was fantastic and very helpful.",positive
"The app freezes constantly, crashes every time I open it.",negative
"Honestly, poor performance and the battery drains too fast.",negative
"Honestly, i regret buying this, it stopped working immediately.",negative
"Honestly, excellent build quality, feels premium and durable.",positive
"Honestly, i received the item and it matches the description.",neutral
"Honestly, i absolutely love this product, it works perfectly!",positive
"It works as expected, neither great nor bad.",neutral
"Honestly, received the product exactly as described.",neutral
"Overpriced for what you actually get, not worth it.",negative
The price is reasonable compared to similar products.,neutral
"Honestly, setup took about ten minutes, not complicated.",neutral
"Honestly, the manual explains most of the functions clearly.",neutral
Superb design and the battery life is incredible.,positive
"The app has all the basic features, fine for general use.",neutral
"Honestly, the price is reasonable compared to similar products.",neutral
I received the item and it matches the description.,neutral
"Overall, overpriced for what you actually get, not worth it.",negative
"Overall, beautiful design, materials are sturdy and very durable.",positive
"Overall, setup took about ten minutes, not complicated.",neutral
"Overall, really impressed, fast shipping and great packaging.",positive
"Honestly, shipping was very slow and the box arrived dented.",negative
"Honestly, i really like it, will definitely buy again.",positive
"Honestly, quality is worse than expected, feels really cheap.",negative
"Overall an average experience, might try other options too.",neutral
"I absolutely love this product, it works perfectly!",positive
"Honestly, the color received is slightly different from the website photos.",neutral
"Great value for money, quality exceeds the price paid.",positive
"Honestly, very disappointed with the quality, feels cheap.",negative
"Overall, i really like it, will definitely buy again.",positive
"Overall, this product broke after just two days of use.",negative
"Overall, the color received is slightly different from the website photos.",neutral
"Honestly, shipping took the usual five to seven business days.",neutral
"Honestly, beautiful design, materials are sturdy and very durable.",positive
"Quality is worse than expected, feels really cheap.",negative
"Overall, i regret buying this, it stopped working immediately.",negative
Way too expensive compared to what you actually get.,negative
"Honestly, the packaging was standard, similar to other orders.",neutral
"Honestly, terrible customer service, nobody responded to my emails.",negative
"Battery life is excellent, lasts all day without frequent charging.",positive
"Really impressed, fast shipping and great packaging.",positive
"Overall, the manual explains most of the functions clearly.",neutral
"Overall, the price is reasonable compared to similar products.",neutral
"Honestly, battery life is excellent, lasts all day without frequent charging.",positive
"Fine for everyday use, but not suited for heavy tasks.",neutral
"Overall, fine for everyday use, but not suited for heavy tasks.",neutral
"Overall, battery life is excellent, lasts all day without frequent charging.",positive
"The packaging was standard, similar to other orders.",neutral
"Honestly, regret buying this, it stopped working after barely any use.",negative
"Honestly, the app is smooth, fast, and very easy to use.",positive
The manual explains most of the functions clearly.,neutral
"Honestly, the manual instructions were confusing and support was no help.",negative
"Overall, the instructions were confusing and support was useless.",negative
"Overall, waste of money, it doesn't work as advertised.",negative
"Honestly, the team gave great advice and solved the problem quickly.",positive
"Overall, terrible customer service, nobody responded to my emails.",negative
"Honestly, the app freezes constantly, crashes every time I open it.",negative
"The screen cracked on the first day, very fragile.",negative
"Beautiful design, materials are sturdy and very durable.",positive
"Honestly, total waste of money, it doesn't work as advertised at all.",negative
"Honestly, delivery was extremely late and the box was damaged.",negative
"Overall, the app has all the basic features, fine for general use.",neutral
"Setup took about ten minutes, not complicated.",neutral
"Overall, the staff were friendly and the service was quick.",positive
"Honestly, setup took about ten minutes, fairly straightforward.",neutral
"Overall, the screen cracked on the first day, very fragile.",negative
"Overall, way too expensive compared to what you actually get.",negative
"Honestly, the customer service was fantastic and very helpful.",positive
Delivery was extremely late and the box was damaged.,negative
"Honestly, the packaging was the same as other stores I've ordered from.",neutral
"Overall, five stars, everything matches what was advertised.",positive
"Setup took about ten minutes, fairly straightforward.",neutral
"Honestly, average experience overall, might consider other options.",neutral
"Great value for money, exceeded my expectations.",positive
The instructions were confusing and support was useless.,negative
"Overall, works as usual, not especially good or bad.",neutral
"Overall, great value for money, quality exceeds the price paid.",positive
"Honestly, great value for money, quality exceeds the price paid.",positive
"Overall, shipping took the usual five to seven business days.",neutral
"Overall, delivery was extremely late and the box was damaged.",negative
"Honestly, fine for everyday use, but not suited for heavy tasks.",neutral
"Honestly, the screen cracked on the first day, very fragile.",negative
"Honestly, way too expensive compared to what you actually get.",negative
"Overall, the manual instructions were confusing and support was no help.",negative
"Honestly, the instructions were confusing and support was useless.",negative
"The app has basic features, does the job for now.",neutral
"Overall, the product broke after just two days, really terrible.",negative
"Honestly, customer service is awful, I emailed and nobody replied.",negative
"Overall, regret buying this, it stopped working after barely any use.",negative
"Honestly, overpriced for what you actually get, not worth it.",negative
"Honestly, amazing quality and fast shipping, highly recommend.",positive
"Five stars, everything matches what was advertised.",positive
"Overall, i'm so happy with this, will buy again for sure.",positive
"Overall, the app is smooth, fast, and very easy to use.",positive
"Five stars, everything works exactly as described.",positive
"Honestly, the staff were friendly and the service was quick.",positive
"Honestly, the app has basic features, does the job for now.",neutral
"Overall, very disappointed with the quality, feels cheap.",negative
"Overall, this made my daily routine so much easier, thank you.",positive
"The product broke after just two days, really terrible.",negative
"Overall, five stars, everything works exactly as described.",positive
"Overall, it works as expected, neither great nor bad.",neutral
"Honestly, the product quality is great, works exactly as I expected.",positive
"Honestly, really impressed, fast shipping and great packaging.",positive
The manual instructions were confusing and support was no help.,negative
"Overall, excellent customer service, staff replied quickly and politely.",positive
"Honestly, the app keeps crashing every time I open it.",negative
"Overall, i received the item and it matches the description.",neutral
"Overall, the product arrived on time, nothing special to note.",neutral
The app keeps crashing every time I open it.,negative
"Honestly, the product arrived on time, nothing particularly exciting.",neutral
"Overall, shipping was very slow and the box arrived dented.",negative
"Honestly, great value for money, exceeded my expectations.",positive
The packaging was the same as other stores I've ordered from.,neutral
"Overall, the color is slightly different from the photos online.",neutral
"I really like it, will definitely buy again.",positive
"Average experience overall, might consider other options.",neutral
"Honestly, excellent customer service, staff replied quickly and politely.",positive
"Overall, great value for money, exceeded my expectations.",positive
"Overall, the app freezes constantly, crashes every time I open it.",negative
The team gave great advice and solved the problem quickly.,positive
"Honestly, this app is very easy to use, smooth with no glitches.",positive
This is the worst experience I've had with a company.,negative
"Overall, customer service is awful, I emailed and nobody replied.",negative
"Overall, the app keeps crashing every time I open it.",negative
"This made my daily routine so much easier, thank you.",positive
"Overall, i absolutely love this product, it works perfectly!",positive
"Honestly, this made my daily routine so much easier, thank you.",positive
"Overall, the product quality is great, works exactly as I expected.",positive
"Waste of money, it doesn't work as advertised.",negative
"Overall, this app is very easy to use, smooth with no glitches.",positive
"Honestly, works as usual, not especially good or bad.",neutral
"Honestly, the price is fairly reasonable compared to other models.",neutral
"Honestly, superb design and the battery life is incredible.",positive
"Overall, the product arrived on time, nothing particularly exciting.",neutral
Shipping was very slow and the box arrived dented.,negative
"Honestly, it is okay for casual use but not for heavy tasks.",neutral
"Overall, superb design and the battery life is incredible.",positive
"Overall, the packaging was the same as other stores I've ordered from.",neutral
"Regret buying this, it stopped working after barely any use.",negative
"Amazing quality and fast shipping, highly recommend.",positive
"Overall, this is the best purchase I've made this year.",positive
"Honestly, poor performance, the battery drains way too fast.",negative
"Honestly, waste of money, it doesn't work as advertised.",negative
"The product arrived on time, nothing particularly exciting.",neutral
"Overall, the team gave great advice and solved the problem quickly.",positive
"Honestly, the app has all the basic features, fine for general use.",neutral
"Honestly, the color is slightly different from the photos online.",neutral
The color is slightly different from the photos online.,neutral
"Overall, quality is worse than expected, feels really cheap.",negative
"Overall, the price is fairly reasonable compared to other models.",neutral
"Honestly, the product arrived on time, nothing special to note.",neutral
"Overall, this is the worst experience I've had with a company.",negative
Received the product exactly as described.,neutral
Shipping took the usual five to seven business days.,neutral
"Terrible customer service, nobody responded to my emails.",negative
"I'm so happy with this, will buy again for sure.",positive
The staff were friendly and the service was quick.,positive
"Honestly, five stars, everything matches what was advertised.",positive
"Overall, poor performance, the battery drains way too fast.",negative
This product broke after just two days of use.,negative
"Overall, total waste of money, it doesn't work as advertised at all.",negative
"Overall, it is okay for casual use but not for heavy tasks.",neutral
"Very disappointed with the quality, feels cheap.",negative
"Honestly, overall an average experience, might try other options too.",neutral
"Customer service is awful, I emailed and nobody replied.",negative
"Works as usual, not especially good or bad.",neutral
The color received is slightly different from the website photos.,neutral
"Honestly, this is the best purchase I've made this year.",positive
"Overall, overall an average experience, might try other options too.",neutral
"Excellent build quality, feels premium and durable.",positive
"I regret buying this, it stopped working immediately.",negative
"Overall, the app has basic features, does the job for now.",neutral
